fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
desconocido,casa,casa o chalet independent﻿e,Alto San Mateo s/n,Boo,Piélagos,660000.0,1.0,4.0,309.0,0.0,,,0
desconocido,casa,casa independiente,Alto San Mateo s/n,Boo,Piélagos,645000.0,1.0,4.0,309.0,0.0,,,0
desconocido,casa,casa independiente,Alto San Mateo s/n,Boo,Piélagos,690000.0,1.0,4.0,305.0,0.0,,,0
desconocido,casa,casa independiente,Alto San Mateo s/n,Boo,Piélagos,645000.0,1.0,4.0,309.0,0.0,,,0
Grupo Inmobiliario Tribeca,piso,apartamento,Calle Bo Las Reigadas 12,Liencres,Piélagos,229000.0,1.0,1.0,45.0,0.0,1.0,1.0,0
Grupo Inmobiliario Tribeca,piso,apartamento,Calle Bo Las Reigadas 12,Liencres,Piélagos,250000.0,1.0,2.0,75.0,0.0,1.0,1.0,0
Grupo Inmobiliario Tribeca,piso,apartamento,Calle Bo Las Reigadas 12,Liencres,Piélagos,275000.0,1.0,2.0,76.0,0.0,1.0,1.0,0
Grupo Inmobiliario Tribeca,piso,apartamento,Calle Bo Las Reigadas 12,Liencres,Piélagos,272000.0,1.0,2.0,76.0,0.0,1.0,1.0,0
desconocido,piso,apartamento,Avenida José María de Pereda 6,Sancibrián,Santa Cruz de Bezana,280000.0,1.0,3.0,100.0,1.0,1.0,1.0,0
desconocido,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,650000.0,1.0,4.0,188.0,0.0,,,0
desconocido,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,715000.0,1.0,4.0,195.0,0.0,,,0
desconocido,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,695000.0,1.0,4.0,195.0,0.0,,,0
desconocido,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,685000.0,1.0,4.0,188.0,0.0,,,0
desconocido,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,725000.0,1.0,4.0,188.0,0.0,,,0
desconocido,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,705000.0,1.0,4.0,195.0,0.0,,,0
desconocido,casa,casa adosada,Calle El Palacio s/n,Sancibrián,Santa Cruz de Bezana,445000.0,1.0,4.0,199.0,0.0,,,0
desconocido,casa,casa adosada,Calle El Palacio s/n,Sancibrián,Santa Cruz de Bezana,450000.0,1.0,4.0,198.0,0.0,,,0
desconocido,casa,casa adosada,Calle El Palacio s/n,Sancibrián,Santa Cruz de Bezana,450000.0,1.0,4.0,199.0,0.0,,,0
Soldit Homes,casa,casa independiente,Calle Monasterio 9,,Molledo,275000.0,,3.0,,0.0,,,0
Iberdrola Inmobiliaria,casa,casa independiente,Calle Mies de Domañas 98,Maoño,Santa Cruz de Bezana,463000.0,,4.0,,0.0,,,0
PROMOCIONES CASADO,piso,apartamento,Calle Gertrudis Gómez Avellaned 1,Peñacastillo - Nuevamontaña,Santander,210000.0,1.0,,,,,1.0,0
ARLARE,casa,casa independiente,Avenida Derechos humanos 3,Zona Playa,Laredo,455000.0,,4.0,,0.0,,,0
Soldit Homes,piso,apartamento,Calle San Felipe Neri 49,,Val de San Vicente,215000.0,,,,,,,0
CBRE Residencial Noja,piso,apartamento,Calle La Fuente 2,Tregadín,Noja,195000.0,,,,,,,0
Robera 2000,piso,apartamento,Calle Bellavista 5,Cueto,Santander,445000.0,1.0,2.0,,,,,0
Robera 2000,casa,casa independiente,Calle Udial 1,Cueto,Santander,640000.0,,,,0.0,,,0
Oyambre Servicios Inmobiliarios,piso,apartamento,Calle Padre Ángel 10,,San Vicente de la Barquera,187000.0,,,,,,,0
PROMOCIONES CASADO,piso,apartamento,Calle Gertrudis Gómez 5,Peñacastillo - Nuevamontaña,Santander,208000.0,1.0,,,,,1.0,0
PROMOCIONES CASADO,casa,casa independiente,Bº Argomilla 5,,Santa María de Cayón,195000.0,,1.0,,0.0,,,0
mvre,casa,casa independiente,Calle Victoriano Fernández 16,Alisal - Cazoña - San Román,Santander,425000.0,1.0,3.0,,0.0,,,0
TERRENALIA,casa,casa independiente,Avenida Monseñor del Val 13,,Suances,545000.0,,4.0,,0.0,,,0
PROMOCIONES CASADO,piso,apartamento,Barrio la Rasa 4,,Suances,296000.0,,,,,,,0
NAOS HOME,casa,casa independiente,Carretera CA-135 6,,Comillas,295000.0,,,,0.0,,,0
Iberdrola Inmobiliaria,casa,casa independiente,Calle Mies de Domañas 132,Maoño,Santa Cruz de Bezana,375000.0,,4.0,,0.0,,,0
ROBERA,piso,apartamento,Calle Libertad 3,Monte,Santander,420000.0,,,,,,,0
Robera 2000,piso,apartamento,Calle Jorge Sepúlveda 16,Monte,Santander,425000.0,1.0,,,,,,0
JAMSA,piso,apartamento,Calle Aviche 25,Monte,Santander,530018.0,1.0,,,,,,0
Iberdrola Inmobiliaria,casa,casa independiente,Alto de Pedroa s/n,Rumoroso - Polanco,Polanco,385000.0,,,,0.0,,,0
Grupo Jamsa,piso,apartamento,Calle Cam. del Bao 2,,Loredo (Ribamontán al Mar),480000.0,,2.0,,,,,0
Iberdrola Inmobiliaria,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,599000.0,,4.0,,0.0,,,0
TECNIOBRAS VINTAGE S.L.,piso,apartamento,Vía Barrio El Pozo de la Torre 1,,Mortera (Piélagos),280000.0,,,,,,1.0,0
Trece Home,piso,apartamento,Calle Manzanedo 35,,Santoña,160000.0,,,,,,,0
Trece Home,piso,apartamento,Calle Joaquín Fernández San Emeterio 14,,Argoños,182000.0,,2.0,,,,,0
YACOBIAN,piso,apartamento,Bo. Quintana 268,,Val de San Vicente,288500.0,,2.0,,,,,0
SOLANA DE MOMPÍA S.L.,casa,casa independiente,Barrio El Monte s/n,,Boo (Piélagos),398500.0,,4.0,,0.0,,,0
Grupo Inmobiliario Tribeca,casa,casa independiente,Calle Ojáiz s/n,Peñacastillo - Nuevamontaña,Santander,485000.0,,4.0,,0.0,,,0
Domus RS,piso,apartamento,Calle Manel Vélez 14,Peñacastillo - Nuevamontaña,Santander,183000.0,1.0,,,,,,0
TECNIOBRAS VINTAGE S.L.,piso,apartamento,Vía Barrio el Canal 14,,Oruña (Piélagos),199900.0,,2.0,,,,,0
wejaus,piso,apartamento,Avenida de Cantabria 60,,Los Corrales de Buelna,169000.0,,,,,,,0
Inmobiliaria Zubia & Marisol Ceballos,piso,apartamento,General 181,,Bárcena de Cicero,135000.0,,2.0,,,,,0
Ficontas,casa,casa independiente,Calle Mijares 21,,Cartes,158000.0,,3.0,,0.0,,,0
Domus RS,piso,apartamento,Manuel Vélez 10,Peñacastillo - Nuevamontaña,Santander,261000.0,1.0,,,,,,0
ATRIO Servicios Inmobiliarios,piso,apartamento,Avenida José María de Pereda 6,Sancibrián,Santa Cruz de Bezana,250000.0,1.0,,,,,1.0,0
Domus RS,piso,apartamento,José Ortega y Gasset 39,Peñacastillo - Nuevamontaña,Santander,195000.0,1.0,,,,,,0
TECNIOBRAS VINTAGE S.L.,casa,casa independiente,Calle La Central 21,,Cacicedo (Camargo),245000.0,,2.0,,0.0,,,0
LOCALIA INMOBILIARIA,piso,apartamento,Barrio El Pozo de la Torre 1a,,Mortera (Piélagos),198000.0,,,,,,1.0,0
wejaus,casa,casa independiente,Calle El Millajo 46,,Miengo,369000.0,,3.0,,0.0,,,0
landCo,piso,apartamento,Avenida José María de Pereda 8,Sancibrián,Santa Cruz de Bezana,325000.0,1.0,2.0,,,,1.0,0
Inmobiliaria las Dunas,piso,apartamento,Barrio El Pozo de la Torre 1,,Mortera (Piélagos),280000.0,,3.0,,,,1.0,0
Mónica Soto Servicios Inmobiliarios,piso,apartamento,Barrio Casar 253,Casar de Periedo (Cabezón de la Sal),Cabezón de la Sal,185000.0,,,,,,,0
Negocio Inmobiliario de ACCIONA,piso,apartamento,Avenida Joaquín Ortiz de Zárate 99,,Comillas,494320.0,,,,,,,0
Grupo Inmobiliario Tribeca,casa,casa independiente,Calle de Victoriano Fernández 16,Alisal - Cazoña - San Román,Santander,425000.0,1.0,3.0,,0.0,,,0
Soldit Homes,casa,casa independiente,Calle Aldea 24,,Suances,515000.0,,4.0,,0.0,,,0
Amenábar,piso,apartamento,Calle Carmen Bravo Villasante / Calle Santiago García Cuadrado 3,Peñacastillo - Nuevamontaña,Santander,259000.0,1.0,,,,,,0
FMP Desarrollos Inmobiliarios,piso,apartamento,Calle Ricardo Bernardo 1,Alisal - Cazoña - San Román,Santander,297000.0,1.0,,,,,,0
TERRAZAS DEL ALISAL SL,piso,apartamento,Calle Adarzo 63,Alisal - Cazoña - San Román,Santander,210000.0,,,,,,,0
INMOMAR COSTA S.L.,piso,apartamento,Calle Maza 9,Palacio,Noja,260000.0,,2.0,,,,,0
Grupo Tecniobras,casa,casa independiente,Calle Castío 1,,Santillana del Mar,350000.0,,4.0,,0.0,,,0
Aedas Homes,piso,apartamento,Calle Menéndez Pelayo 13,Centro,Laredo,419000.0,,,,,,,0
Milton Homes,piso,apartamento,Calle de San Martín 6,,Suances,430000.0,,,,,,,0
LOCALIA INMOBILIARIA,piso,apartamento,La Hayuela s/n,,Udías,230000.0,,,,,,,0
ATRIO Servicios Inmobiliarios,casa,casa independiente,Alto San Mateo s/n,,Boo (Piélagos),595000.0,,4.0,,0.0,,,0
Promotora Albar,piso,apartamento,Calle el Peñón s/n,Soto de la Marina,Santa Cruz de Bezana,374000.0,1.0,,,,,1.0,0
V.B. Landtrade,piso,apartamento,Calle Barrio La Torre 17,Monte,Santander,498750.0,,,,,,,0
Lar Kantauri Inmobiliaria,casa,casa independiente,Ayuntamientos Democráticos 46,Cotolino,Castro-Urdiales,362000.0,,3.0,,0.0,,,0
Inmonojasol S.L.,piso,apartamento,Joaquín Ferna 1,,Argoños,182000.0,,,,,,,0
OMUN S.L.,casa,casa independiente,Barrio Requejada 33,,Polanco,248000.0,,3.0,,0.0,,,0
Inmonojasol S.L.,piso,apartamento,Calle Alcarite s/n,Ris,Noja,235000.0,,,,,,,0
Reines Grupo Inmobiliario Santander,piso,apartamento,Calle Torres Quevedo 7,,Los Corrales de Buelna,148500.0,,,,,,,0
Inmobiliarias San Fernando,piso,apartamento,Calle Abad Paterno 18,,Santoña,215000.0,,,,,,,0
Espazio Inmobiliario,piso,apartamento,Barrio La Canal 15,,Oruña (Piélagos),199900.0,,2.0,,,,,0
Grupo Inmobiliario Tribeca,piso,apartamento,Calle Bo Las Reigadas 12,,Liencres (Piélagos),229000.0,1.0,,,,,1.0,0
Inmobiliarias San Fernando,piso,apartamento,Calle Consolación 24,Centro,Torrelavega,285000.0,,,,,,,0
MENA INMOBILIARIA,casa,casa independiente,Calle La Central 1,,Cacicedo (Camargo),323000.0,,3.0,,0.0,,,0
Grupo Inmobiliario Tribeca,piso,apartamento,"Calle Barrio El Pozo de la Torre 1, Distrito Mortera 1",,Mortera (Piélagos),280000.0,1.0,3.0,,,,1.0,0
Trece Home,piso,apartamento,Calle Barrio de Santullán 39,Mioño-Santullán,Castro-Urdiales,199000.0,,,,,,1.0,0
Inmobiliaria las Dunas,casa,casa independiente,Calle Barrio Yuso 10,,Santillana del Mar,272950.0,,,,0.0,,,0
Fuennova,piso,apartamento,Paseo de la Barquera 53a,,San Vicente de la Barquera,410000.0,,,,,,,0
Desarrollos Singulares del Norte SL,piso,apartamento,Calle Aro 3,,Santoña,190500.0,,,,,,,0
Nortepisos,piso,apartamento,Calle de la Maza 9,Palacio,Noja,260000.0,1.0,2.0,,,,,0
Jose Abascal - Real Estate Advisor,piso,apartamento,Lugar Barrio Bádames 1018,,Voto,120000.0,,,,,,,0
Trece Home,piso,apartamento,Calle San Juan 7,Ris,Noja,240000.0,,2.0,,,,,0
Inmobiliaria Zubia & Marisol Ceballos,casa,casa independiente,Calle Bo Sámano-Helguera 205,,Castro-Urdiales,450000.0,,3.0,,0.0,,,0
Inmobiliaria SOMOPLAYA / INMOLOREDO,casa,casa independiente,Los Tranquilos 3,,Loredo (Ribamontán al Mar),478000.0,,,,0.0,,,0
Engel & Völkers Santander,casa,casa independiente,Avenida Monseñor del Val 13,,Suances,545000.0,,4.0,,0.0,,,0
AGUIMAN,casa,casa independiente,Avenida de España 29,Cotolino,Castro-Urdiales,395000.0,,4.0,,0.0,,,0
Inmobiliaria Norte,casa,casa independiente,Vía Barrio Brazomar 36,Cotolino,Castro-Urdiales,630000.0,,4.0,,0.0,,,0
Inmobiliaria Barrio,casa,casa independiente,Calle Jaime del Amo 8,,Suances,795000.0,,3.0,,0.0,,,0
Inmobiliarias San Fernando,casa,casa independiente,Avenida Marqués de Valdecilla s/n,Soto de la Marina,Santa Cruz de Bezana,650000.0,,4.0,,0.0,,,0
Grupo Tecniobras,casa,casa independiente,Calle El Palacio s/n,Sancibrián,Santa Cruz de Bezana,445000.0,,4.0,,0.0,,,0
Inmobiliarias.com,casa,casa independiente,Barrio Islares 41,,Castro-Urdiales,289000.0,,3.0,,0.0,,,0
Udaritz Homes,piso,apartamento,Barrio la Piñera 3,,Boo (Piélagos),260000.0,1.0,,,,,1.0,0
Udaritz Homes,casa,casa independiente,Calle Barrio las Escuelas 35,,Viveda,350000.0,,3.0,,0.0,,,0
Udaritz Homes,piso,apartamento,Calle Pedro Sobrado Pintor s/n,Tanos,Torrelavega,159000.0,,,,,,,0
Inmobiliaria JC de Laredo,piso,apartamento,Calle Barrio de Santullán 39,Mioño-Santullán,Castro-Urdiales,199000.0,,,,,,1.0,0
Inmobiliaria JC de Laredo,casa,casa independiente,Calle Barrio el Mazo 14,,Ramales de la Victoria,249000.0,,3.0,,0.0,,,0
Gestión Inmobiliaria Val de Cella,piso,apartamento,Barrio La Rañada 14,El Bosque (Entrambasaguas),Entrambasaguas,129000.0,,,,,,,0
Inmobiliaria montaña,casa,casa independiente,Calle la Central 4,,Cacicedo (Camargo),260000.0,,2.0,,0.0,,,0
Valnera Homes,casa,casa independiente,Calle Bº Ladredo 75,,Camargo,395900.0,,4.0,,0.0,,,0
IVAN RASILLA LANZA,casa,casa independiente,Calle Barrio Bolado 8,Herrera,Camargo,395000.0,,4.0,,0.0,,,0
Valnera Homes,casa,casa independiente,Bº Cubas 18,,Ribamontán al Monte,440000.0,,4.0,,0.0,,,0
Ayesli,casa,casa independiente,Calle Padre Ignacio Ellacuría 163,Carlos V,Laredo,595000.0,,,,0.0,,,0
Construcciones Latapia Taeño S.L.,piso,apartamento,Ernest Lluch s/n,Monte,Santander,310000.0,,,,,,,0
