id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
30,Engel & Völkers Santander,"Terreno en Barrio el Bardal, Zurita, Piélagos",Piélagos,"Barrio el Bardal, Zurita",750000,,,2200,Urbanizable,,"Proyecto 16 viviendas"
31,Engel & Völkers Santander,"Terreno en Barrio San Julián, Zurita, Piélagos",Piélagos,"Barrio San Julián, Zurita",115000,,,1822,Urbanizable,,"4 apartamentos turísticos"
32,Grupo Inmobiliario Tribeca,"Terreno en Barrio las Canteras, Igollo, Camargo",Camargo,"Barrio las Canteras, Igollo",135000,,,1435,"Urbano (solar)",,
33,Beyar Inmobiliaria,"Terreno en Barrio Aguilera, 3, Parbayón, Piélagos",Piélagos,"Barrio Aguilera, 3, Parbayón",200000,,,3422,Urbanizable,,
34,Beyar Inmobiliaria,"Terreno en Calle Castío, s/n, Santillana del Mar",Santillana del Mar,"Calle Castío, s/n",165000,,,2000,Urbanizable,,
35,Beyar Inmobiliaria,"Terreno en Barrio la Iglesia, Polanco",Polanco,"Barrio la Iglesia",55000,,,1732,Urbanizable,,
36,Beyar Inmobiliaria,"Terreno en Barrio San Pedro, Polanco",Polanco,"Barrio San Pedro",55000,,,1790,Urbanizable,,
37,Inmobiliaria Sebrango,"Terreno en Barrio el Jurrio, 50 C, Parbayón, Piélagos",Piélagos,"Barrio el Jurrio, 50 C, Parbayón",90000,,,1007,"No urbanizable",,
38,Inmobiliaria Sebrango,"Terreno en Barrio el Jurrio, 50 C, Parbayón, Piélagos",Piélagos,"Barrio el Jurrio, 50 C, Parbayón",90000,,,1021,"No urbanizable",,
39,,"Terreno en Barrio la Tejera, 8 b, Boo, Piélagos",Piélagos,"Barrio la Tejera, 8 b, Boo",155000,,,1222,"Urbano (solar)",,
40,Inmobiliaria Eurocasa,"Terreno en Barrio el Tojo, Revilla, Camargo",Camargo,"Barrio el Tojo, Revilla",200000,,,16209,"No urbanizable",,
41,Inmobiliaria Eurocasa,"Terreno en Barrio la Calva, Revilla, Camargo",Camargo,"Barrio la Calva, Revilla",115000,,,520,"Urbano (solar)",,
42,Bahía Home,"Terreno en Barrio Oruña, Oruña, Piélagos",Piélagos,"Barrio Oruña, Oruña",150000,,,8325,Urbanizable,,
43,Inmosantander,"Terreno en Boo, Piélagos",Piélagos,Boo,163000,,,6559,Urbanizable,,
44,Bankcasas.com,"Terreno en Alisal - Cazoña - San Román, Santander",Santander,"Alisal - Cazoña - San Román",1054000,,,6648,Urbanizable,,
45,Inmobiliaria.green,"Terreno en Barrio Llejo, 10, Oruña, Piélagos",Piélagos,"Barrio Llejo, 10, Oruña",147500,150000,2,1163,"Urbano (solar)",,
46,MENA INMOBILIARIA,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Bezana,555000,,,796,"Urbano (solar)",,
47,RE/MAX Vértice,"Terreno en Barrio la Soledad, Arce, Piélagos",Piélagos,"Barrio la Soledad, Arce",180000,,,4218,Urbanizable,,
48,Inmobiliarias San Fernando,"Terreno en Calle del Monte, 33, General Dávila, Santander",Santander,"Calle del Monte, 33, General Dávila",850000,,,974,"Urbano (solar)",,"Edificabilidad 801 m²"
49,Inmobiliaria Barrio,"Terreno en Calle la Masera, 32, Suances",Suances,"Calle la Masera, 32",160000,,,1622,"Urbano (solar)",,
50,Inmobiliaria Barrio,"Terreno en Barrio Viveda, 62, Viveda",Viveda,"Barrio Viveda, 62",80000,,,1524,Urbanizable,,
51,Inmobiliaria Barrio,"Terreno en Calle Mayor, 10, Suances",Suances,"Calle Mayor, 10",220000,,,1425,Urbanizable,,
52,Inmosantander,"Terreno en Barrio San Antonio, Renedo, Piélagos",Piélagos,"Barrio San Antonio, Renedo",88000,,,2121,Urbanizable,,
53,Inmosantander,"Terreno en Barrio Llejo, Oruña, Piélagos",Piélagos,"Barrio Llejo, Oruña",220000,,,5400,"Urbano (solar)",,
54,Espazio Inmobiliario,"Terreno en Barrio Rinconeda, Polanco",Polanco,"Barrio Rinconeda",78000,,,2963,Urbanizable,,
55,LOCALIA INMOBILIARIA,"Terreno en Abra del Pas, 771, Mogro",Mogro,"Abra del Pas, 771",330000,,,3892,"Urbano (solar)",,
56,Engel & Völkers Santander,"Terreno en Calle Piélagos, Suances",Suances,"Calle Piélagos",650000,,,102180,"No urbanizable",,
57,Inmosantander,"Terreno en Barrio La Tejera, Boo, Piélagos",Piélagos,"Barrio La Tejera, Boo",149000,,,1054,Urbanizable,,
58,Espazio Inmobiliario,"Terreno en Calle Castío, Santillana del Mar",Santillana del Mar,"Calle Castío",1339000,,,36124,"Urbano (solar)",,
59,LOCALIA INMOBILIARIA,"Terreno en Ca-131, s/n, Santillana del Mar",Santillana del Mar,"Ca-131, s/n",930000,,,14772,Urbanizable,,
60,Engel & Völkers Santander,"Terreno en Calle Bolado, Monte, Santander",Santander,"Calle Bolado, Monte",485000,,,475,Urbanizable,3134308VP3133C0000PK,
61,Inmobiliaria.green,"Terreno en Barrio Menocal, 19 p, Polanco",Polanco,"Barrio Menocal, 19 p",82000,,,531,"Urbano (solar)",,
62,FRESNO GESTION Y VENTA,"Terreno en Polígono de Raos, Maliaño, Camargo",Camargo,"Polígono de Raos, Maliaño",475000,,,3000,Urbanizable,,
63,Inmobiliaria las Dunas,"Terreno en Calle el Monte, Suances",Suances,"Calle el Monte",143000,,,1710,Urbanizable,,
64,Inmobiliaria Barrio,"Terreno en Avenida de Dorat, Santillana del Mar",Santillana del Mar,"Avenida de Dorat",15000,,,2639,,,
65,Inmobiliaria Barrio,"Terreno en Avenida de Dorat, Santillana del Mar",Santillana del Mar,"Avenida de Dorat",18000,,,3570,,,
66,Inmobiliaria Zubia & Marisol Ceballos,"Terreno en Calle Bolado, 1151, Monte, Santander",Santander,"Calle Bolado, 1151, Monte",471600,,,10195,Urbanizable,,
67,Engel & Völkers Santander,"Terreno en Avenida de Dorat, Santillana del Mar",Santillana del Mar,"Avenida de Dorat",150000,,,5343,"Urbano (solar)",39076A001ZP,"Duplicado id 11"
68,viBe,"Terreno en Diseminado Escobedo, Escobedo, Camargo",Camargo,"Diseminado Escobedo, Escobedo",120000,,,5630,Urbanizable,,
69,Inmobiliaria Barrio,"Terreno en Carretera Hinojedo-Puente Avios, Suances",Suances,"Carretera Hinojedo-Puente Avios",180000,,,15191,,,"Autorización CROTU"
70,ComisiónZero,"Terreno en Barrio la Rueda, Zurita, Piélagos",Piélagos,"Barrio la Rueda, Zurita",95000,,,1000,"Urbano (solar)",,
71,Bankcasas.com,"Terreno en Oruña, Piélagos",Piélagos,Oruña,166000,175000,5,2680,Urbanizable,,
72,Beyar Inmobiliaria,"Terreno en Barrio Posadorios, 1, Barcenilla - Quijano, Piélagos",Piélagos,"Barrio Posadorios, 1, Barcenilla - Quijano",360000,,,15880,"Urbano (solar)",,
73,Elite Home / Diseño y Confort inmobiliario,"Terreno en Diseminado Queveda, Santillana del Mar",Santillana del Mar,"Diseminado Queveda",92000,,,1218,"Urbano (solar)",,
74,Mónica Soto Servicios Inmobiliarios,"Terreno en Barrio Barcenilla, 635, Barcenilla - Quijano, Piélagos",Piélagos,"Barrio Barcenilla, 635, Barcenilla - Quijano",43000,,,16000,"No urbanizable",,
75,Asesoría Inmobiliaria Santos S.L.,"Terreno en Calle Queveda-la Fuente, Viveda",Viveda,"Calle Queveda-la Fuente",168000,,,5429,"Urbano (solar)",,
76,,"Terreno en Barrio Llejo, 8, Oruña, Piélagos",Piélagos,"Barrio Llejo, 8, Oruña",364000,,,4185,"Urbano (solar)",,
77,Inmobiliaria Barrio,"Terreno en Carretera la Tejera, 4, Suances",Suances,"Carretera la Tejera, 4",340000,,,6162,,,
78,Inmonojasol s.l,"Terreno en Peñacastillo - Nuevamontaña, Santander",Santander,"Peñacastillo - Nuevamontaña",1200000,,,7795,"Urbano (solar)",,
79,Inmobiliaria las Dunas,"Terreno en Liencres, Liencres, Piélagos",Piélagos,"Liencres, Liencres",38000,,,1893,"No urbanizable",,
80,Espazio Inmobiliario,"Terreno en Suances",Suances,,120000,,,2500,"Urbano (solar)",,
81,Espazio Inmobiliario,"Terreno en Miengo",Miengo,,135000,,,6014,"No urbanizable",,
82,Espazio Inmobiliario,"Terreno en Boo, Piélagos",Piélagos,Boo,187200,,,1253,"Urbano (solar)",,
83,Espazio Inmobiliario,"Terreno en Santillana del Mar",Santillana del Mar,,230000,,,4058,"Urbano (solar)",,
84,Espazio Inmobiliario,"Terreno en Zurita, Piélagos",Piélagos,Zurita,105000,,,4004,Urbanizable,,
85,Prada&Asociados,"Terreno en Maliaño, Camargo",Camargo,Maliaño,400000,,,39000,"No urbanizable",,
86,Prada&Asociados,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,110500,,,1276,"Urbano (solar)",,
87,MENA INMOBILIARIA,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Bezana,119000,,,863,"Urbano (solar)",,
88,Espazio Inmobiliario,"Terreno en Carandía, Piélagos",Piélagos,Carandía,59000,,,1373,"Urbano (solar)",,
89,MENA INMOBILIARIA,"Terreno en Bezana, Santa Cruz de Bezana",Santa Cruz de Bezana,Bezana,180000,,,1300,"Urbano (solar)",,
90,Prada&Asociados,"Terreno en Parbayón, Piélagos",Piélagos,Parbayón,95500,,,1104,"Urbano (solar)",,
91,Espazio Inmobiliario,"Terreno en Carandía, Piélagos",Piélagos,Carandía,59000,,,1373,"Urbano (solar)",,"Duplicado del anuncio ya incluido (id 88 en el dataset anterior)"
92,IMAZ&RUIZ,"Terreno en Polanco",Polanco,,58000,,,468,"Urbano (solar)",,"Texto menciona 469 m²; edificable 140 m² (según texto)"
93,FRESNO GESTION Y VENTA,"Terreno en Barrio San Juan, Oruña, Piélagos",Piélagos,"Barrio San Juan, Oruña",240000,,,2658,"Urbano (solar)",,"Se pueden edificar 2 viviendas (según texto)"
94,Inmosantander,"Terreno en Barrio Menocal, Polanco",Polanco,"Barrio Menocal",293000,,,4796,"Urbano (solar)",,"Parte urbana 1.855 m² + resto rústico (según texto)"
95,Espazio Inmobiliario,"Terreno en Zurita, Piélagos",Piélagos,Zurita,80000,,,1066,"Urbano (solar)",,"Ocupación 1,5% y edificabilidad 2% (según texto)"
96,,"Terreno en Barrio el Tojo, 55 a, Revilla, Camargo",Camargo,"Barrio el Tojo, 55 a, Revilla",180000,,,7728,"Urbano (solar)",,"1.900 m² urbanos + resto rústico; vistas panorámicas; edificabilidad ~295 m²; orientación sur (según texto)"
97,Inmobiliaria Barrio,"Terreno en Calle Bosco, 13, Suances",Suances,"Calle Bosco, 13",269000,,,1309,Urbanizable,,
98,ComisiónZero,"Terreno en Arce, Piélagos",Piélagos,Arce,70000,,,4591,"No urbanizable",,"En texto aparece ORUÑA Bº Palacio; saneamiento junto a parcela (según texto)"
99,ComisiónZero,"Terreno en Zurita, Piélagos",Piélagos,Zurita,70000,,,18300,"No urbanizable","39052A010000860000JL|39052A010000840000JQ",
100,ComisiónZero,"Terreno en Zurita, Piélagos",Piélagos,Zurita,60000,,,1200,"Urbano (solar)",9494107VN1999S0001TH,"Indica 'AHORA NO DISPONIBLE' (según texto)"
101,Mies de Rial,"Terreno en Barrio el Jurrio, Parbayón, Piélagos",Piélagos,"Barrio el Jurrio, Parbayón",150000,,,2892,"Urbano (solar)",,"Apto para 2 chalets; posible venta por separado (según texto)"
102,IMAZ&RUIZ,"Terreno en Igollo, Camargo",Camargo,Igollo,129000,,,1415,"Urbano (solar)",,"Proyecto vivienda 287 m²; licencia de obra (según texto)"
103,IMAZ&RUIZ,"Terreno en Igollo, Camargo",Camargo,Igollo,33000,,,2590,"No urbanizable",,"Sin posibilidad de construir (según texto)"
104,,"Terreno en Calle el Mazo de Abajo, 63, Alisal - Cazoña - San Román, Santander",Santander,"Calle el Mazo de Abajo, 63, Alisal - Cazoña - San Román",2653000,,,6945,"Urbano (solar)",,"Parcela 2 UA 6-AE 92.2 San Román-El Mazo; solar finalista (según texto)"
105,,"Terreno en Avenida de Dorat, Santillana del Mar",Santillana del Mar,"Avenida de Dorat",155000,,,2574,,,""
106,Oyambre Servicios Inmobiliarios,"Terreno en Calle Resconorio, 53, Monte, Santander",Santander,"Calle Resconorio, 53, Monte",69000,92800,26,2087,Urbanizable,2231724VP3123A0001SB,"En texto aparece 2.205 m² (inconsistencia)"
107,Gestiona Consuelo,"Terreno en Barrio Oruña, Oruña, Piélagos",Piélagos,"Barrio Oruña, Oruña",147500,150000,2,1163,"Urbano (solar)",,"Proyecto + licencia; anteproyecto chalet PB (según texto)"
108,Oyambre Servicios Inmobiliarios,"Terreno en Barrio la Canal, 8 a, Oruña, Piélagos",Piélagos,"Barrio la Canal, 8 a, Oruña",166000,,,2450,Urbanizable,2957011VP2025N0001UH,"En texto también menciona 2.680,39 m² (inconsistencia)"
109,C&M GREAT LUXURY REAL ESTATE GROUP,"Terreno en Barrio Valencia, 15, Vioño, Piélagos",Piélagos,"Barrio Valencia, 15, Vioño",195000,,,1577,"Urbano (solar)",,
110,33 Elefantes,"Terreno en Avenida Dorst, km 24, Santillana del Mar",Santillana del Mar,"Avenida Dorst, km 24",83000,,,1000,Urbanizable,,
111,ALFAPLAYAS,"Terreno en Calle Macías Picavea, General Dávila, Santander",Santander,"Calle Macías Picavea, General Dávila",300000,500000,40,324,"Urbano (solar)",,"Posibilidad hasta 8 apartamentos + garajes (según texto)"
112,,"Terreno en Barrio Barcenilla, Barcenilla - Quijano, Piélagos",Piélagos,"Barrio Barcenilla, Barcenilla - Quijano",797000,,,2915,,,"Texto describe promoción 36 dúplex en Bustablado (posible mezcla/ruido del anuncio)"
113,,"Terreno en Barrio el Palacio, Polanco",Polanco,"Barrio el Palacio",643900,,,5109,,,"22 fincas; suelo urbano RU; licencia obra vigente 15/02/2007 (según texto)"
114,Gestion inmobiliaria gumar,"Terreno en Barrio Camplengo, Santillana del Mar",Santillana del Mar,"Barrio Camplengo",225000,,,2842,"Urbano (solar)",,
115,tomascasas inmobiliaria,"Terreno en Barrio el Callejo, 11, Liencres, Piélagos",Piélagos,"Barrio el Callejo, 11, Liencres",295000,,,1080,"Urbano (solar)",,"Vistas al mar (indicado)"
116,Look & Find Santander,"Terreno en Barrio la Canal, Oruña, Piélagos",Piélagos,"Barrio la Canal, Oruña",200000,,,761,"Urbano (solar)",,"Proyecto + licencia para 6 viviendas (según texto)"
117,Inmobiliaria PAS-NuevoPiso,"Terreno en Barrio El Tolío, Boo, Piélagos",Piélagos,"Barrio El Tolío, Boo",30000,,,10000,"No urbanizable",,"Uso agrario (según texto)"
118,Inmobiliaria PAS-NuevoPiso,"Terreno en Barrio el Palacio, Polanco",Polanco,"Barrio el Palacio",80000,,,1476,Urbanizable,,"Dos parcelas 805 y 671 m² (según texto)"
119,,"Terreno en Calle Repuente, Monte, Santander",Santander,"Calle Repuente, Monte",980000,,,12467,Urbanizable,,"Conjunto 10 parcelas; sector SU 8; 31,17% del sector (según texto)"
120,,"Terreno en Calle Resconorio, Monte, Santander",Santander,"Calle Resconorio, Monte",69000,92800,26,2205,Urbanizable,,"Duplicado de concepto con ids 106/121/132 (mismo precio/desc.)"
121,Virginia Yllera,"Terreno en Barrio la Sierra, 3, Liencres, Piélagos",Piélagos,"Barrio la Sierra, 3, Liencres",165000,,,352,"Urbano (solar)",,"Edificabilidad 218 (según texto)"
122,Inmobiliaria cobo mantecon,"Terreno en Boo, Piélagos",Piélagos,Boo,120000,125000,4,3038,Urbanizable,,
123,INMOVERSE,"Terreno en Calle Albert Einstein, Peñacastillo - Nuevamontaña, Santander",Santander,"Calle Albert Einstein, Peñacastillo - Nuevamontaña",2300000,,,9212,"No urbanizable",,
124,Northome Cantabria,"Terreno en Calle Inés Diego de Noval, Cueto, Santander",Santander,"Calle Inés Diego de Noval, Cueto",450000,,,1132,"Urbano (solar)",,"Catalogado N3A; edificabilidad 0,40 (según texto)"
125,Esparta Inmobiliaria,"Terreno en Avenida Libertad, Mompia, Santa Cruz de Bezana",Santa Cruz de Bezana,"Avenida Libertad, Mompia",1435000,,,30859,Urbanizable,,"9 parcelas; bloques en altura (según texto)"
126,,"Terreno en Las Escuelas, Igollo, Camargo",Camargo,"Las Escuelas, Igollo",90000,,,1666,"Urbano (solar)",,"Dividido en 2 parcelas; vivienda 165 m² (según texto)"
127,,"Terreno en eri22, Barcenilla - Quijano, Piélagos",Piélagos,"eri22, Barcenilla - Quijano",22000,,,1300,"No urbanizable",,"Texto menciona 1347 m² (inconsistencia)"
128,,"Terreno en eri20, Barcenilla - Quijano, Piélagos",Piélagos,"eri20, Barcenilla - Quijano",20000,,,1000,"No urbanizable",,"Texto menciona 1051 m² (inconsistencia)"
129,,"Terreno en Barrio el Perujo, 1, Arce, Piélagos",Piélagos,"Barrio el Perujo, 1, Arce",160000,,,1236,Urbanizable,,"Texto dice 'Suelo Urbano' (contradicción con 'Urbanizable' del encabezado)"
130,,"Terreno en Barrio las Canteras, 2, Igollo, Camargo",Camargo,"Barrio las Canteras, 2, Igollo",130000,,,1435,"Urbano (solar)",,"Licencia urbanística (Expediente LIC***/2022) (según texto)"
131,LAE HOMES - Santander,"Terreno en Barrio el Perujo, Arce, Piélagos",Piélagos,"Barrio el Perujo, Arce",120000,,,1350,"Urbano (solar)",,"Licencia + proyecto (según texto)"
132,Bankcasas.com,"Terreno en Monte, Santander",Santander,Monte,69000,92800,26,2087,Urbanizable,,
133,A3B Gestión Inmobiliaria,"Terreno en Calle Corceño, Alisal - Cazoña - San Román, Santander",Santander,"Calle Corceño, Alisal - Cazoña - San Román",550000,,,1430,"Urbano (solar)",,"Proyecto + licencia para 3 chalets (según texto)"
134,BEST HOUSE TORRELAVEGA,"Terreno en Suances",Suances,,560000,,,1000,Urbanizable,,"Promoción 9 viviendas; proyecto + licencia (según texto)"
135,Oyambre Servicios Inmobiliarios,"Terreno en Renedo, Piélagos",Piélagos,Renedo,142500,,,4954,Urbanizable,,"Hasta 8 viviendas (según texto)"
136,Oyambre Servicios Inmobiliarios,"Terreno en Renedo, Piélagos",Piélagos,Renedo,46900,,,1404,Urbanizable,,"Texto menciona 1.215,5 m² (inconsistencia)"
137,Bankcasas.com,"Terreno en Monte, Santander",Santander,Monte,471600,,,11934,Urbanizable,,"Incluye múltiples referencias catastrales (lista incompleta en el texto pegado)"
138,,"Terreno en Solarana, Arce, Piélagos",Piélagos,"Solarana, Arce",135000,,,1020,"Urbano (solar)",,"Licencia concedida (según texto)"
139,Inmobiliaria montaña,"Terreno en Barrio de Santiago, 31 a, Revilla, Camargo",Camargo,"Barrio de Santiago, 31 a, Revilla",180000,,,16139,Urbanizable,,"Texto dice Suelo No Urbanizable Ordinario (contradicción con 'Urbanizable' del encabezado)"
140,Oyambre Servicios Inmobiliarios,"Terreno en Calle Vía, 29 a, Suances",Suances,"Calle Vía, 29 a",362000,,,7498,"Urbano (solar)",,
141,ATRIO Servicios Inmobiliarios,"Terreno en Avenida Juan de Herrera, 1, Maoño, Santa Cruz de Bezana",Santa Cruz de Bezana,"Avenida Juan de Herrera, 1, Maoño",35000,,,997,"No urbanizable",,
142,Inmobiliaria Suances,"Terreno en La Castañera, 30, Santillana del Mar",Santillana del Mar,"La Castañera, 30",75000,,,6101,Urbanizable,,"Texto mezcla: 'parcela urbana' + uso industrial; cultivo (según texto)"
143,Oyambre Servicios Inmobiliarios,"Terreno en Lugar Barrio Rinconeda, 37 a, Polanco",Polanco,"Lugar Barrio Rinconeda, 37 a",643900,,,5109,"Urbano (solar)",,"Producto bancario; 22 fincas (posible duplicado del id 113)"
144,Bankcasas.com,"Terreno en Soto de la Marina, Santa Cruz de Bezana",Santa Cruz de Bezana,"Soto de la Marina",2900000,,,9338,Urbanizable,,"~33% del Sector 15; junta compensación (según texto)"
145,Inmobiliaria Suances,"Terreno en Carretera Avios, 23732, Suances",Suances,"Carretera Avios, 23732",120000,,,3200,Urbanizable,,"Autorización CROTU (según texto)"
146,eXp Realty España,"Terreno en Calle Laredo, Puerto Chico, Santander",Santander,"Calle Laredo, Puerto Chico",76923,,,1108,Urbanizable,,"Texto dice terreno rústico Playa del Regatón (posible incoherencia ubicación)"
147,Oyambre Servicios Inmobiliarios,"Terreno en Calle Albericia, 20, Alisal - Cazoña - San Román, Santander",Santander,"Calle Albericia, 20, Alisal - Cazoña - San Román",850000,,,4869,"Urbano (solar)",,"Texto menciona 7 suelos; superficie total 6.864 m²; edificabilidad 4.602,93 m²t (inconsistencia con 4.869 m²)"
148,,"Terreno en Calle del Monte, General Dávila, Santander",Santander,"Calle del Monte, General Dávila",28000,,,57,"Urbano (solar)",,"Edificabilidad estimada 49,91 m² (según texto)"
149,,"Terreno en Calle Resconorio, Monte, Santander",Santander,"Calle Resconorio, Monte",92800,,,2205,"Urbano (solar)",,"Texto lo llama 'suelo urbanizable' (contradicción con 'Urbano (solar)' del encabezado)"
150,,"Terreno en Barrio Monte-Corbanera, Monte, Santander",Santander,"Barrio Monte-Corbanera, Monte",15000,,,292,Urbanizable,,"Aparece duplicado literal (2 veces en el texto)"
151,,"Terreno en Barrio Monte-Corbanera, Monte, Santander",Santander,"Barrio Monte-Corbanera, Monte",15000,,,292,Urbanizable,,"Duplicado del id 150 (mismo bloque repetido)"
152,Domus RS,"Terreno en Barrio Rinconeda, 1609, Polanco",Polanco,"Barrio Rinconeda, 1609",545200,,,545,"Urbano (solar)",6435716VP1063S0001MJ,"'y colindantes' (según texto)"
153,ALFAPLAYAS,"Terreno en Calle Aviche, Monte, Santander",Santander,"Calle Aviche, Monte",200000,,,1450,"No urbanizable",,
154,,"Terreno en Barrio el Perujo, Arce, Piélagos",Piélagos,"Barrio el Perujo, Arce",125000,,,800,"Urbano (solar)",,"Segregación (según texto)"
155,Grupo Inmobiliario Tribeca,"Terreno en Arce, Piélagos",Piélagos,Arce,400000,,,6000,Urbanizable,,"Aprobado CROTU vivienda unifamiliar (según texto)"
156,ALFAPLAYAS,"Terreno en Calle el Castro, Alisal - Cazoña - San Román, Santander",Santander,"Calle el Castro, Alisal - Cazoña - San Román",169000,,,1210,Urbanizable,,"Edificabilidad 602,76 (según texto); AR/AE-116 (según texto)"
157,Inmobiliaria Blanco,"Terreno en Barrio la Ermita, 42, Polanco",Polanco,"Barrio la Ermita, 42",660000,,,4367,"Urbano (solar)",,"Proyecto 13 viviendas en Rinconeda (según texto)"
158,AGL HOMES,"Terreno en Calle Repuente, 14, Monte, Santander",Santander,"Calle Repuente, 14, Monte",420000,,,1295,"Urbano (solar)",,
