id_anuncio,fuente,operacion,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,provincia,precio_eur,precio_anterior_eur,descuento_pct,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,obra_nueva_categoria,obra_nueva_flag,notas_parseo
1,Inmobiliaria E-Castro,venta,piso,, "Avenida Riomar, 1",Cotolino,Castro-Urdiales,Cantabria,498000,,,sí,4,121,4,sí,sí,otros,0,""
2,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,Cantabria,575000,,,sí,5,232,,desconocido,desconocido,otros,0,""
3,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado, 6",Centro,Castro-Urdiales,Cantabria,299000,,,desconocido,2,84,3,sí,sí,otros,0,"Garaje no indicado"
4,Inmobiliaria E-Castro,venta,piso,, "Calle de la Ronda, 32",Centro,Castro-Urdiales,Cantabria,340000,,,desconocido,4,99,5,sí,sí,otros,0,"Garaje no indicado"
5,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Sámano",Sámano,Castro-Urdiales,Cantabria,799000,,,sí,5,511,,desconocido,desconocido,otros,0,"Dirección sin número"
6,Inmobiliarias.com,venta,ático,, "Calle de Angel Perez Hornoas Cholo",Brazomar,Castro-Urdiales,Cantabria,360000,,,sí,3,130,6,sí,sí,otros,0,""
7,Inmobiliarias.com,venta,ático,, "Calle de la Granja",Cotolino,Castro-Urdiales,Cantabria,405000,,,sí,2,90,4,sí,sí,otros,0,""
8,Inmobiliarias.com,venta,piso,, "Calle Ataúlfo Argenta",Cotolino,Castro-Urdiales,Cantabria,415000,,,sí,3,110,2,sí,sí,otros,0,""
9,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Montealegre",Sámano,Castro-Urdiales,Cantabria,455000,,,desconocido,5,266,,desconocido,desconocido,otros,0,"Garaje no indicado"
10,Inmobiliaria E-Castro,venta,piso,, "Isaac Castillo",Mioño-Santullán,Castro-Urdiales,Cantabria,180000,,,desconocido,4,105,1,sí,no,otros,0,""
11,Exclusivas Inmobiliarias Mikeli,venta,dúplex,, "Calle Doctor Marañón",El Sardinero,Santander,Cantabria,2890000,,,sí,4,310,2,sí,sí,otros,0,""
12,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida Manuel García Lago",El Sardinero,Santander,Cantabria,3150000,,,sí,5,241,4,sí,sí,otros,0,""
13,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado",Centro,Castro-Urdiales,Cantabria,220000,,,desconocido,2,64,6,sí,sí,otros,0,"Dirección sin número"
14,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Cerdigo",Oriñón-Allendagua,Castro-Urdiales,Cantabria,370000,,,sí,4,227,,desconocido,desconocido,otros,0,""
15,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida Maura",El Sardinero,Santander,Cantabria,520000,,,sí,2,105,1,sí,sí,otros,0,""
16,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Avenida de Cantabria",Valdenoja,Santander,Cantabria,798000,860000,7,sí,3,178,3,sí,sí,otros,0,"En el texto indica edificio construido en 2005"
17,Inmobiliarias.com,venta,casa,chalét adosado,"Calle del Alto de la Cruz",Cotolino,Castro-Urdiales,Cantabria,450000,,,sí,4,250,,desconocido,desconocido,otros,0,""
18,Exclusivas Inmobiliarias Mikeli,venta,piso,, "Paseo de Pereda",Puerto Chico,Santander,Cantabria,1800000,,,desconocido,5,292,4,sí,no,otros,0,"Garaje no indicado"
19,Exclusivas Inmobiliarias Mikeli,venta,casa,chalét independiente,"Barrio la Arnía",Liencres,Piélagos,Cantabria,875000,,,sí,6,308,,desconocido,desconocido,otros,0,""
20,Engel & Völkers Santander,venta,piso,, "Avenida de Pontejos",El Sardinero,Santander,Cantabria,885000,,,sí,4,189,8,sí,sí,otros,0,""
21,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Brazomar, 46",Cotolino,Castro-Urdiales,Cantabria,575000,,,desconocido,5,232,,desconocido,desconocido,otros,0,"Duplicado potencial del anuncio #2 (misma dirección y precio). Garaje no indicado"
22,altamira21.com,venta,piso,, "Calle Juan de Herrera",Centro - Ayuntamiento,Santander,Cantabria,598000,,,desconocido,4,107,4,sí,sí,otros,0,"Garaje no indicado"
23,Inmobiliarias.com,venta,piso,, "Calle Belén, 3",Centro,Castro-Urdiales,Cantabria,430000,,,desconocido,2,84,2,sí,sí,otros,0,"Indica 'reciente construcción' pero no 'obra nueva' explícito"
24,Inmobiliaria E-Castro,venta,piso,, "Calle Leonardo Rucabado, 50",Brazomar,Castro-Urdiales,Cantabria,270000,,,sí,2,64,2,sí,sí,otros,0,""
25,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Barrio Sámano, 40",Sámano,Castro-Urdiales,Cantabria,360000,,,desconocido,3,221,,desconocido,desconocido,otros,0,"Garaje no indicado"
26,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Calle Aureliano Linares Rivas",Centro,Castro-Urdiales,Cantabria,740000,,,sí,6,400,,desconocido,desconocido,otros,0,"Dirección sin número"
27,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Calle Aureliano Linares Rivas, 17",Centro,Castro-Urdiales,Cantabria,650000,,,desconocido,5,350,,desconocido,desconocido,otros,0,"Garaje no indicado"
28,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Calle Paco Labiano, 5",Playa Ostende,Castro-Urdiales,Cantabria,750000,,,desconocido,4,372,,desconocido,desconocido,otros,0,"Garaje no indicado"
29,Inmobiliarias.com,venta,piso,, "Avenida Riomar, 1",Cotolino,Castro-Urdiales,Cantabria,498000,,,sí,4,120,4,sí,sí,otros,0,"Duplicado potencial del anuncio #1 (misma dirección y precio; m2 difiere 121 vs 120)"
30,Inmobiliarias.com,venta,casa,chalét independiente,"Barrio Sámano",Sámano,Castro-Urdiales,Cantabria,370000,,,sí,4,270,,desconocido,desconocido,otros,0,"Dirección sin número"
64,MiPiso.com,venta,casa,chalét pareado,"Camino Derecha, 27 -13",El Callejo - La Pesquera - La Arenosa,Laredo,Cantabria,225000,,,sí,,3,207,,desconocido,desconocido,otros,0,"Texto: para reformar"
65,Trece Home,venta,piso,,Calle los Nogales,Tregadín,Noja,Cantabria,215000,,,sí,,2,61,2,sí,desconocido,otros,0,"Ascensor no indicado"
66,Fincas Mafer,venta,casa,chalét independiente,"Calle San Marcial, 23",Centro,Laredo,Cantabria,158000,,,desconocido,,3,60,,desconocido,desconocido,otros,0,"Reformada (texto)"
67,donpiso Santander,venta,piso,,Calle Isaac Peral,Numancia - San Fernando,Santander,Cantabria,190000,,,desconocido,,3,79,1,sí,sí,otros,0,"Garaje no indicado"
68,Inmobiliaria Eurocasa,venta,piso,,Calle San Celedonio,General Dávila,Santander,Cantabria,340000,,,desconocido,,2,106,bajo,sí,no,otros,0,"Son dos apartamentos contiguos (texto). Tipología agregada."
69,Inmosantander,venta,dúplex,,Av Cantabria,Valdenoja,Santander,Cantabria,695000,720000,3,sí,"3 plazas (texto)",4,176,4,sí,sí,otros,0,"Construida en 2008 (texto)"
70,ELITE,venta,piso,,Calle Ataulfo Argenta Músico,Puerto Chico,Santander,Cantabria,740000,,,desconocido,,4,149,5,sí,sí,otros,0,"Garaje no indicado"
71,Inmobiliaria PAS-NuevoPiso,venta,piso,,Calle Justicia,Cuatro Caminos,Santander,Cantabria,395000,,,sí,,2,72,3,sí,sí,otros,0,""
72,RK IDEPISOS,venta,piso,,Calle Francisco de Quevedo,Centro - Ayuntamiento,Santander,Cantabria,440000,,,desconocido,,3,124,3,sí,sí,otros,0,"Garaje no indicado"
73,ELITE,venta,casa,chalét independiente,El Sardinero,El Sardinero,Santander,Cantabria,1395000,,,desconocido,,12,337,,desconocido,desconocido,otros,0,"Garaje no indicado"
74,Inmobiliarias.com,venta,casa,chalét adosado,"Montesolmar, 22",Centro,Castro-Urdiales,Cantabria,800000,,,sí,,4,350,,desconocido,desconocido,otros,0,""
75,Inmobiliarias.com,venta,piso,,Calle República Argentina 9,Centro,Castro-Urdiales,Cantabria,400000,,,desconocido,,4,143,5,sí,sí,otros,0,"Posible duplicado de #50 (misma calle, distinto número/m²)"
76,Inmobiliarias.com,venta,piso,,Barrio Brazomar,Brazomar,Castro-Urdiales,Cantabria,285000,,,sí,,3,85,4,sí,sí,otros,0,"En el texto lo llaman ático"
77,RK IDEPISOS,venta,piso,,Calle San Celedonio,General Dávila,Santander,Cantabria,279000,,,desconocido,,3,85,bajo,sí,no,obra_nueva,1,"Texto: reformada, a estrenar"
78,Inmonorte,venta,piso,,Avenida de Francia,El Puntal,Laredo,Cantabria,138000,,,desconocido,,1,40,bajo,sí,sí,otros,0,"Probable duplicado de #38 (mismo sitio, misma tipología y precio)"
79,Inmobiliaria Salazar,venta,piso,apartamento,Calle Teresa de Calcuta,Cotolino,Castro-Urdiales,Cantabria,163000,,,desconocido,,1,42,5,sí,sí,otros,0,"Vivienda alquilada (texto)"
80,Inmobiliarias.com,venta,piso,,Islares,Islares,Castro-Urdiales,Cantabria,197000,,,desconocido,,3,115,bajo,sí,sí,otros,0,"Tipología: bajo dúplex (texto)"
81,Mirapiso,venta,dúplex,,Calle Ontanilla 6,Tregadín,Noja,Cantabria,249900,,,sí,,3,83,2,sí,no,otros,0,""
82,Inmobiliaria Barrio,venta,piso,,Calle Calderón de la Barca,Castilla - Hermida,Santander,Cantabria,540000,,,desconocido,,4,155,5,sí,sí,otros,0,"Garaje no indicado"
83,Inmobiliarias.com,venta,dúplex,,Residencial los arces,Oriñón-Allendagua,Castro-Urdiales,Cantabria,319000,,,sí,,3,120,bajo,sí,no,otros,0,""
84,Inmonojasol s.l,venta,piso,apartamento,Paseo de Trengandín,Tregadín,Noja,Cantabria,230000,,,sí,"garaje cerrado (texto)",2,62,1,sí,no,otros,0,""
85,Distrito inmobiliario,venta,casa,chalét independiente,Urbanización la Mina,Arce,Piélagos,Cantabria,890000,,,sí,,6,620,,desconocido,desconocido,otros,0,""
86,Inmobiliarias.com,venta,casa,chalét independiente,Ayuntamientos Democraticos,Cotolino,Castro-Urdiales,Cantabria,850000,,,sí,,5,365,,desconocido,desconocido,otros,0,"Texto: reciente construcción (no confirmo obra nueva)"
87,Inmobiliaria E-Castro,venta,piso,,Calle Bajada del Chorrillo 8,Centro,Castro-Urdiales,Cantabria,235000,249000,6,desconocido,,2,91,2,sí,sí,otros,0,"Vivienda con inquilino (texto)"
88,Inmobiliaria las Dunas,venta,piso,,Calle Marqués de la Hermida 72,Castilla - Hermida,Santander,Cantabria,250000,,,desconocido,,3,94,2,sí,sí,otros,0,"Para actualizar (texto)"
89,MENA INMOBILIARIA,venta,piso,,El Parque - Zapatón,El Parque - Zapatón,Torrelavega,Cantabria,160000,,,desconocido,,3,93,3,sí,sí,otros,0,"Garaje no indicado"
90,Exclusivas inmobiliarias mikeli,venta,dúplex,,Paseo Menéndez Pelayo,General Dávila,Santander,Cantabria,530000,580000,9,desconocido,,4,162,,sí,no,otros,0,"Planta no indicada; dice exterior sin ascensor"
91,Exclusivas inmobiliarias mikeli,venta,casa,chalét independiente,Barrio la Soledad,Arce,Piélagos,Cantabria,950000,,,sí,,6,274,,desconocido,desconocido,otros,0,""
92,Inmobiliaria Barrio,venta,casa,,Valdenoja,Valdenoja,Santander,Cantabria,649000,,,sí,,4,128,,desconocido,desconocido,otros,0,"Tipo no explícito; texto: casa independiente"
93,Inmobiliarias.com,venta,casa,chalét adosado,"Onton, s/n",Baltezana-Ontón,Castro-Urdiales,Cantabria,299999,,,desconocido,,4,201,,desconocido,desconocido,otros,0,"Reformada (texto)"
94,Inmobiliaria E-Castro,venta,piso,,Calle el Sable 8,Playa Ostende,Castro-Urdiales,Cantabria,400000,,,desconocido,,2,76,1,sí,sí,otros,0,"Garaje no indicado"
95,Inmobiliaria Barrio,venta,casa,chalét independiente,Alisal - Cazoña - San Román,Alisal - Cazoña - San Román,Santander,Cantabria,890000,,,sí,,4,261,,desconocido,desconocido,otros,0,""
96,Inmobiliaria E-Castro,venta,piso,,Paseo Ocharan Mazas,Centro,Castro-Urdiales,Cantabria,425000,,,desconocido,,1,103,4,sí,sí,otros,0,"Garaje no indicado"
97,Inmobiliaria E-Castro,venta,piso,,Calle el Hoyo 5,Playa Ostende,Castro-Urdiales,Cantabria,295000,,,sí,,3,88,1,sí,sí,otros,0,""
98,Inmobiliaria E-Castro,venta,casa,chalét independiente,"Calle Aureliano Linares Rivas, 17",Centro,Castro-Urdiales,Cantabria,715000,,,sí,,7,550,,desconocido,desconocido,otros,0,"Ojo: misma dirección que #27 pero distinto precio/superficie"
99,Inmobiliarias.com,venta,casa,,Carretera mioño,Mioño-Santullán,Castro-Urdiales,Cantabria,360000,370000,3,desconocido,,3,160,,desconocido,desconocido,otros,0,"Garaje no indicado"
100,Inmobiliarias.com,venta,dúplex,,Menendez Pelayo,Brazomar,Castro-Urdiales,Cantabria,465000,,,sí,,5,180,5,sí,sí,otros,0,""
101,Inmobiliarias.com,venta,casa,chalét adosado,Barrio de Santullán,Mioño-Santullán,Castro-Urdiales,Cantabria,370000,,,sí,,3,203,,desconocido,desconocido,otros,0,""
102,Inmobiliaria E-Castro,venta,dúplex,,Calle San Andrés 8,Cotolino,Castro-Urdiales,Cantabria,300000,,,sí,,2,108,1,sí,sí,otros,0,""
103,Inmobiliaria E-Castro,venta,piso,,Calle Santander,Centro,Castro-Urdiales,Cantabria,260000,,,desconocido,,3,84,1,sí,no,otros,0,""
104,Inmobiliarias.com,venta,casa,chalét independiente,Barrio Otañes,Otañes,Castro-Urdiales,Cantabria,330000,,,sí,,4,200,,desconocido,desconocido,otros,0,""
105,Inmobiliarias.com,venta,ático,,Calle de Silvestre Ochoa,Playa Ostende,Castro-Urdiales,Cantabria,299800,,,sí,,2,65,4,sí,sí,otros,0,""
106,Inmobiliarias.com,venta,casa,chalét pareado,Barrio Sámano,Sámano,Castro-Urdiales,Cantabria,415000,,,sí,,4,260,,desconocido,desconocido,otros,0,""
107,Inmobiliarias.com,venta,piso,,Calle Venancio Bosco,Centro,Castro-Urdiales,Cantabria,295000,,,sí,,2,79,1,sí,sí,otros,0,"Garaje cerrado (texto)"
108,Inmobiliarias.com,venta,piso,,Calle de la Ronda 3,Centro,Castro-Urdiales,Cantabria,295000,,,desconocido,,3,104,1,sí,sí,otros,0,"Garaje no indicado"
109,Inmobiliarias.com,venta,casa,chalét pareado,Subida a Cueto,Mioño-Santullán,Castro-Urdiales,Cantabria,360000,,,sí,,4,220,,desconocido,desconocido,otros,0,""
110,Inmobiliaria E-Castro,venta,casa,chalét pareado,"Barrio Otañes, 77",Otañes,Castro-Urdiales,Cantabria,293000,,,sí,,3,163,,desconocido,desconocido,otros,0,"Vivienda alquilada / no visitable (texto)"
111,ACERO Inmobiliaria,venta,casa,chalét independiente,"Pozo barrio el",Boo,Piélagos,Cantabria,470000,,,sí,,4,263,,desconocido,desconocido,otros,0,""
112,Inmobiliarias.com,venta,casa,chalét independiente,Ca-520,Sámano,Castro-Urdiales,Cantabria,540000,,,sí,,5,316,,desconocido,desconocido,otros,0,"Probable duplicado de #31 (mismo precio, m², zona)"
113,Inmobiliarias.com,venta,piso,,Barrio Oriñón,Oriñón-Allendagua,Castro-Urdiales,Cantabria,195000,,,sí,,2,70,3,sí,sí,otros,0,""
114,Inmobiliaria E-Castro,venta,piso,,Calle la Rúa,Centro,Castro-Urdiales,Cantabria,160000,196000,18,desconocido,,4,143,2,sí,no,otros,0,""
115,Inmobiliarias.com,venta,dúplex,,Calle San Andrés,Cotolino,Castro-Urdiales,Cantabria,300000,,,sí,,2,108,1,sí,sí,otros,0,"Probable duplicado de #102 (misma calle y m²)"
