Año	Mes	Valor
2013	Abril	0,528%
2013	Marzo	0,545%
2013	Febrero	0,594%
2013	Enero	0,575%
2012	Diciembre	0,549%
2012	Noviembre	0,588%
2012	Octubre	0,65%
2012	Septiembre	0,74%
2012	Agosto	0,877%
2012	Julio	1,061%
2012	Junio	1,219%
2012	Mayo	1,266%
2012	Abril	1,368%
2012	Marzo	1,499%
2012	Febrero	1,678%
2012	Enero	1,837%
2011	Diciembre	2,004%
2011	Noviembre	2,044%
2011	Octubre	2,11%
2011	Septiembre	2,067%
2011	Agosto	2,097%
2011	Julio	2,183%
2011	Junio	2,144%
2011	Mayo	2,147%
2011	Abril	2,086%
2011	Marzo	1,924%
2011	Febrero	1,714%
2011	Enero	1,55%
2010	Diciembre	1,526%
2010	Noviembre	1,541%
2010	Octubre	1,495%
2010	Septiembre	1,421%
2010	Agosto	1,421%
2010	Julio	1,373%
2010	Junio	1,281%
2010	Mayo	1,249%
2010	Abril	1,225%
2010	Marzo	1,215%
2010	Febrero	1,225%
2010	Enero	1,232%
2009	Diciembre	1,242%
2009	Noviembre	1,231%
2009	Octubre	1,243%
2009	Septiembre	1,261%
2009	Agosto	1,334%
2009	Julio	1,412%
2009	Junio	1,611%
2009	Mayo	1,644%
2009	Abril	1,771%
2009	Marzo	1,909%
2009	Febrero	2,135%
2009	Enero	2,622%
2008	Diciembre	3,452%
2008	Noviembre	4,35%
2008	Octubre	5,248%
2008	Septiembre	5,384%
2008	Agosto	5,323%
2008	Julio	5,393%
2008	Junio	5,361%
2008	Mayo	4,994%
2008	Abril	4,82%
2008	Marzo	4,59%
2008	Febrero	4,349%
2008	Enero	4,498%
2007	Diciembre	4,793%
2007	Noviembre	4,607%
2007	Octubre	4,647%
2007	Septiembre	4,725%
2007	Agosto	4,666%
2007	Julio	4,564%
2007	Junio	4,506%
2007	Mayo	4,373%
2007	Abril	4,253%
2007	Marzo	4,106%
2007	Febrero	4,094%
2007	Enero	4,064%
2006	Diciembre	3,921%
2006	Noviembre	3,864%
2006	Octubre	3,799%
2006	Septiembre	3,715%
2006	Agosto	3,615%
2006	Julio	3,539%
2006	Junio	3,401%
2006	Mayo	3,308%
2006	Abril	3,221%
2006	Marzo	3,105%
2006	Febrero	2,914%
2006	Enero	2,834%
2005	Diciembre	2,783%
2005	Noviembre	2,684%
2005	Octubre	2,414%
2005	Septiembre	2,22%
2005	Agosto	2,223%
2005	Julio	2,168%
2005	Junio	2,103%
2005	Mayo	2,193%
2005	Abril	2,265%
2005	Marzo	2,335%
2005	Febrero	2,31%
2005	Enero	2,312%
2004	Diciembre	2,301%
2004	Noviembre	2,328%
2004	Octubre	2,316%
2004	Septiembre	2,377%
2004	Agosto	2,302%
2004	Julio	2,361%
2004	Junio	2,404%
2004	Mayo	2,297%
2004	Abril	2,163%
2004	Marzo	2,055%
2004	Febrero	2,163%
2004	Enero	2,216%
2003	Diciembre	2,381%
2003	Noviembre	2,41%
2003	Octubre	2,303%
2003	Septiembre	2,258%
2003	Agosto	2,279%
2003	Julio	2,076%
2003	Junio	2,014%
2003	Mayo	2,252%
2003	Abril	2,447%
2003	Marzo	2,411%
2003	Febrero	2,504%
2003	Enero	2,705%
2002	Diciembre	2,872%
2002	Noviembre	3,017%
2002	Octubre	3,126%
2002	Septiembre	3,236%
2002	Agosto	3,44%
2002	Julio	3,645%
2002	Junio	3,869%
2002	Mayo	3,963%
2002	Abril	3,86%
2002	Marzo	3,816%
2002	Febrero	3,594%
2002	Enero	3,483%
2001	Diciembre	3,298%
2001	Noviembre	3,198%
2001	Octubre	3,369%
2001	Septiembre	3,77%
2001	Agosto	4,108%
2001	Julio	4,311%
2001	Junio	4,313%
2001	Mayo	4,521%
2001	Abril	4,481%
2001	Marzo	4,471%
2001	Febrero	4,591%
2001	Enero	4,574%
2000	Diciembre	4,881%
2000	Noviembre	5,193%
2000	Octubre	5,218%
2000	Septiembre	5,219%
2000	Agosto	5,248%
2000	Julio	5,105%
2000	Junio	4,965%
2000	Mayo	4,849%
2000	Abril	4,365%
2000	Marzo	4,268%
2000	Febrero	4,111%
2000	Enero	3,95%
1999	Diciembre	3,826%
1999	Noviembre	3,689%
1999	Octubre	3,684%
1999	Septiembre	3,301%
1999	Agosto	3,237%
1999	Julio	3,03%
1999	Junio	2,836%
1999	Mayo	2,683%
1999	Abril	2,756%
1999	Marzo	3,046%
1999	Febrero	3,03%
1999	Enero	3,062%
